STN Code,Name,Year,Temperature Min,DO Min,pH Min,Conductivity Min,BOD Min,Nitrate Min,Faecal Coli Form Min,Total Coli Form Min
1446,"HEBALLA VALLEY LAKE AT D/S ROAD BRIDGE NR. MAYA, KARNATAKA",2015,20,0,6,240,2,0,1700,5800
3582,HEBBAL LAKE,2015,25,3,7,1476,5,1,700,5800
3583,KUKKARAHALLI LAKE,2015,25,3,8,658,4,1,1300,700
3584,DALAVAI LAKE,2015,26,0,7,872,11,1,2100,8400
3585,YENNEHOLE LAKE,2015,26,1,7,836,10,0,1400,5800
3586,LIMBHABUDI LAKE,2015,26,1,8,572,7,1,1200,4700
3587,SHETTYKERE LAKE,2015,25,3,8,496,4,1,1100,4800
3591,KEMPAMBUDHI LAKE,2015,24,3,7,1129,5,4,542,542
3592,YEDIYUR LAKE,2015,24,3,7,362,2,0,542,542
3593,"ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING, KARNATAKA",2015,17,1,7,348,3,1,542,542
3601,KARIHOBANAHALLI LAKE,2015,24,5,7,234,3,1,542,542
3602,BELLAUR LAKE,2015,23,0,7,584,5,1,348,542
3608,VARTHUR LAKE,2015,23,0,7,649,3,1,542,542
3610,TUBRAHALLI LAKE,2015,27,2,7,1033,5,0,542,542
3611,KAIKOANAHALLI LAKE,2015,21,3,7,996,4,0,542,542
3612,AGARAM LAKE,2015,21,0,7,839,5,0,542,542
3613,GOTTEGRE LAKE,2015,21,4,7,1304,30,2,0,542
3614,PUTTENAHALLI LAKE (S),2015,23,2,7,260,3,1,542,542
3615,ARAKERE LAKE,2015,27,3,7,515,3,1,17200,542
3616,KALENA AGRAHARA LAKE,2015,23,0,7,798,5,1,426,542
3617,HULIMAVU LAKE,2015,25,1,7,347,3,0,426,542
3620,PARAPPANA AGRAHARA LAKE,2015,24,0,7,994,3,1,542,542
3621,HARALAKUNTE LAKE,2015,22,2,7,631,4,0,542,542
3622,SOMASURA PALYA LAKE,2015,23,1,7,1191,6,1,542,175
3624,PUTTENAHALLI LAKE,2015,28,0,7,822,5,0,542,542
3625,HEBBAL LAKE,2015,26,3,7,8.9,3,0,542,542
3627,JAKKUR LAKE,2015,28,2,7,584,3,0,345,542
3628,AMRUTHAHALLI LAKE,2015,29,1,7,1225,7,2,542,542
3644,MULBHAGAL LAKE,2015,20,4,6,556,4,1,542,542
3645,DEVARAYASAMUDRA LAKE,2015,20,5,7,169,3,1,542,542
3646,NARASAPURA LAKE,2015,23,5,6,72,3,1,49000,94000
3647,HULEDANAHALLI LAKE,2015,21,4,7,57,0,1,141,212
3649,BUGUDANAHALLI LAKE,2015,22,6,7,108,2,0,542,542
3654,GOTTIGERE LAKE,2015,24,2,7,394,2,0,542,542
3559,HULLIGE TANK,2015,26,7,7,458,3,0,300,900
3560,MAVENAKERE,2015,26,6,9,1925,10,0,900,1600
3561,HUIKERE (KOPPAL),2015,26,7,7,386,2,0,300,900
3588,KARANJIKERE,2015,25,3,8,552,3,1,1100,4900
3589,MADIWALA TANK,2015,21,3,7,413,3,1,542,542
3595,BYRASARA TANK,2015,17,1,7,518,4,1,542,542
3597,HESARAGHATTA TANK,2015,24,3,5,84,2,0,221,542
3598,HEROHALLI TANK,2015,24,4,7,638,4,0,542,542
3599,MADAVARA TANK,2015,23,3,7,104,4,1,140,542
3600,SHIVAPURA TANK,2015,25,4,7,1400,6,2,240000,542
3604,DODDANAKUI TANK,2015,27,5,7,793,3,0,542,542
3605,YELLAMALLAPPA TANK,2015,26,0,7,803,3,1,542,542
3606,DASARAHALLI TANK,2015,23,4,7,124,3,0,542,542
3607,KALKERE TANK,2015,26,0,7,418,4,1,542,542
3618,SINGASARA LAKE,2015,23,2,7,640,4,1,542,542
3619,BEGUR TANK,2015,27,4,7,941,4,1,542,542
3626,NAGAVARA TANK,2015,27,4,7,576,3,0,542,542
3629,ALLASARA TANK,2015,26,4,7,604,3,0,542,542
3630,YELAHANKA TANK,2015,27,1,7,588,3,0,542,542
3632,VEERAPURA TANK,2015,23,7,7,344,4,1,542,542
3634,DEVARAKERE TANK,2015,20,3,7,514,4,1,49000,221000
3635,MALATHAHALLI TANK,2015,24,2,7,1129,3,1,542,542
3637,BYRAMANGALA TANK,2015,26,0,7,1215,2,2,542,542
3639,YELAHANKA TANK,2015,27,1,7,1370,6,4,0,542
3643,BEENNIGANAHALLI TANK,2015,23,0,7,655,3,1,542,542
3651,BHEEMSARA TANK,2015,28,0,7,898,4,2,542,542
3652,PAVAGADA TANK,2015,31,3,6,500,7,3,542,542
3653,DODDAKERE TANK,2015,24,0,7,149,1,0,240,542
3656,NALLIKATTE KERE,2015,23,6,7,290,2,0,330,2100
3657,KAACHACHALLI KOPPALUKERE,2015,24,4,7,790,3,0,490,3500
3658,KALLAKATTE KERE,2015,25,1,7,1140,5,0,7900,22000
3659,MATHANA KERE,2015,2,3,7,700,4,0,3200,13000
3660,HUNASINA KERE,2015,24,2,7,700,4,0,4900,17000
3661,KOKKANAGHATTADODDAKERE,2015,25,5,8,980,2,0,330,2800
3662,KAWSHIKAKERE,2015,24,5,8,370,2,0,380,1700
3663,JOLADAKATTE,2015,25,6,8,400,1,0,400,1700
3664,BASAVANAHALLIKERE,2015,25,6,7,370,2,0,260,1400
3665,LINGAPPANAKATTE,2015,24,3,7,540,2,0,270,2200
3666,GANIGARAHOSAHALLIKERE,2015,24,6,7,340,2,0,210,1600
3667,SATHENAHALLIDODDAKERE,2015,24,5,7,410,1,0,580,2100
3668,SODHARAHALLIKERE,2015,24,6,7,390,2,0,260,1700
3669,SHELERAMANAHALLIKERE,2015,25,5,7,320,1,0,330,1700
3670,HAINARAKATTE,2015,25,5,7,250,1,0,330,1700
3671,HANUMANTHAPURAKATTE,2015,25,6,8,320,1,0,210,1100
3672,SANKALAPURAKERE,2015,24,5,8,430,2,0,430,2100
3673,HAVALIKERE,2015,23,5,7,560,2,0,210,1700
3674,SATHAMANGALAKERE,2015,25,6,7,330,3,0,430,5400
3675,B KALEHALLIKERE,2015,26,5,7,360,2,0,330,1700
3676,THAVENAHALLIKERE,2015,23,5,7,380,2,0,320,2100
3677,SHARANABAWESHWARA KERE,2015,26,7,8,976,5,0,110,300
3679,BHUTANALA LAKE,2015,30,3,8,630,2,0,500,900
3680,KILLA LAKE,2015,22,5,7,420,1,0,500,900
3681,ANGOL MI TANL,2015,22,0,6,730,6,0,900,1600
3682,KAKATI POND,2015,22,5,8,900,1,0,900,1600
3683,HEREKERE,2015,20,4,7,687,29,3,170,550
3684,KELEGERE,2015,20,7,8,740,2,1,130,275
3685,NAVALOORU LAKE,2015,22,6,8,488,3,1,170,900
3686,NIRASAGARAKERE,2015,20,7,8,405,1,0,11,17
3687,NUGGIKERE,2015,21,6,7,635,3,1,110,275
3688,SUDANAKERE,2015,20,6,8,604,4,1,170,350
3689,SOMESHWARAKERE,2015,20,6,7,63,3,2,110,350
3690,UNAKALKERE,2015,21,7,8,810,4,1,170,350
3691,VIMANABHUTHIKERE,2015,25,6,7,85,2,0,22,70
3692,KUUVADAKERE,2015,24,5,7,130,2,0,110,280
3693,BHATHIKERE,2015,24,4,7,300,3,0,500,500
3694,SHANTHISAGARKERE,2015,26,7,7,120,2,0,90,220
3695,KOAGGIKERE,2015,23,7,7,170,2,0,80,220
3696,AIANAKERE,2015,26,3,8,910,10,0,350,900
3697,MATTADAKERE,2015,26,7,7,1040,4,0,170,500
1388,"ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,KARNA",2016,27,5.7,7.6,451,4,1.3,3300,24000
1446,"HEBALLA VALLEY LAKE AT D/S ROAD BRIDGE NR. MANDYA, KARNATAKA",2016,23,1,7.6,468,3,0.3,2300,24000
3582,HEBBAL LAKE,2016,25,1.7,7.6,1724,7,0.2,3400,24000
3583,KUKKARAHALLI LAKE,2016,25,5.6,8.3,686,4.2,0.1,490,5400
3584,DALAVAI LAKE,2016,24,0.2,7.5,972,12,0.2,3300,24000
3585,YENNEHOLE LAKE,2016,25,1.2,7.7,1024,11,0.4,3300,24000
3586,LIMBHABUDI LAKE,2016,26,4.4,7.9,650,6,0.2,2300,24000
3587,SHETTYKERE LAKE,2016,25,3.1,7.8,648,6.1,0.1,920,1600
3592,YEDIYUR LAKE,2016,22,5.1,6.7,291,3,0,1200,16000
